Mark,Athlete,Nation,Venue,Date,Sex,Event
12:41.9,Haile Gebrselassie,ETH,Zürich,13-Aug-1997,male,5000m
12:44.4,Haile Gebrselassie,ETH,Zürich,16-Aug-1995,male,5000m
12:44.9,Daniel Komen,KEN,Zürich,13-Aug-1997,male,5000m
12:45.1,Daniel Komen,KEN,Zürich,14-Aug-1996,male,5000m
12:46.5,Eliud Kipchoge,KEN,Roma (Stadio Olimpico),2-Jul-2004,male,5000m
12:46.8,Dejen Gebremeskel,ETH,Paris Saint-Denis (Stade de France),6-Jul-2012,male,5000m
12:47.0,Sileshi Sihine,ETH,Roma (Stadio Olimpico),2-Jul-2004,male,5000m
12:47.5,Hagos Gebrhiwet,ETH,Paris Saint-Denis (Stade de France),6-Jul-2012,male,5000m
12:48.1,Kenenisa Bekele,ETH,Bruxelles (Boudewijnstadion),25-Aug-2006,male,5000m
12:48.2,Kenenisa Bekele,ETH,Zürich,18-Aug-2006,male,5000m
12:48.6,Isiah Kiplangat Koech,KEN,Paris Saint-Denis (Stade de France),6-Jul-2012,male,5000m
12:48.7,Isaac Kiprono Songok,KEN,Zürich,18-Aug-2006,male,5000m
12:48.8,Yenew Alamirew,ETH,Paris Saint-Denis (Stade de France),6-Jul-2012,male,5000m
12:48.8,Saif Saaeed Shaheen,KEN,Ostrava,12-Jun-2003,male,5000m
12:49.0,Daniel Komen,KEN,Roma (Stadio Olimpico),5-Jun-1997,male,5000m
12:49.0,Thomas Pkemei Longosiwa,KEN,Paris Saint-Denis (Stade de France),6-Jul-2012,male,5000m
12:49.3,Brahim Lahlafi,MAR,Bruxelles,25-Aug-2000,male,5000m
12:49.5,John Chepkwony Kipkoech,KEN,Paris Saint-Denis (Stade de France),6-Jul-2012,male,5000m
12:49.5,Kenenisa Bekele,ETH,Zaragoza,28-Jul-2007,male,5000m
12:49.6,Haile Gebrselassie,ETH,Zürich,11-Aug-1999,male,5000m
12:49.7,Mohammed Mourhit,BEL,Bruxelles,25-Aug-2000,male,5000m
12:49.9,Paul Tergat,KEN,Zürich,13-Aug-1997,male,5000m
12:50.2,Sileshi Sihine,ETH,Bruxelles (Boudewijnstadion),14-Sep-2007,male,5000m
12:50.2,Kenenisa Bekele,ETH,Zürich (Letzigrund),29-Aug-2008,male,5000m
12:50.2,Eliud Kipchoge,KEN,Bruxelles (Boudewijnstadion),26-Aug-2005,male,5000m
12:50.2,Hicham El Guerrouj,MAR,Ostrava,12-Jun-2003,male,5000m
12:50.3,Abderrahim Goumri,MAR,Bruxelles (Boudewijnstadion),26-Aug-2005,male,5000m
12:50.4,Eliud Kipchoge,KEN,Bruxelles (Boudewijnstadion),14-Sep-2007,male,5000m
12:50.6,Moses Ndiema Masai,KEN,Berlin (Olympiastadion),1-Jun-2008,male,5000m
12:50.7,Moses Ndiema Kipsiro,UGA,Bruxelles (Boudewijnstadion),14-Sep-2007,male,5000m
12:50.8,Salah Hissou,MAR,Roma (Stadio Olimpico),5-Jun-1996,male,5000m
12:50.9,Ali Saïdi-Sief,ALG,Roma (Stadio Olimpico),30-Jun-2000,male,5000m
12:51.0,Joseph Ebuya,KEN,Bruxelles (Boudewijnstadion),14-Sep-2007,male,5000m
12:51.2,Eliud Kipchoge,KEN,Doha (Hamad Bin Suhaim),14-May-2010,male,5000m
12:51.3,Kenenisa Bekele,ETH,Paris Saint-Denis,8-Jul-2006,male,5000m
12:51.3,Edwin Cheruiyot Soi,KEN,Monaco (Stade Louis II),19-Jul-2013,male,5000m
12:51.4,Kenenisa Bekele,ETH,Roma (Stadio Olimpico),14-Jul-2006,male,5000m
12:51.4,Vincent Kiprop Chepkok,KEN,Doha (Hamad Bin Suhaim),14-May-2010,male,5000m
12:51.6,Daniel Komen,KEN,Stockholm,8-Jul-1996,male,5000m
12:52.0,Thomas Pkemei Longosiwa,KEN,Bruxelles (Boudewijnstadion),14-Sep-2007,male,5000m
12:52.0,Albert Kibichii Rop,BRN,Monaco (Stade Louis II),19-Jul-2013,male,5000m
12:52.0,Saif Saaeed Shaheen,QAT,Roma (Stadio Olimpico),14-Jul-2006,male,5000m
12:52.3,Kenenisa Bekele,ETH,Oslo,27-Jun-2003,male,5000m
12:52.3,Isaac Kiprono Songok,KEN,Roma (Stadio Olimpico),8-Jul-2005,male,5000m
12:52.3,Kenenisa Bekele,ETH,Zürich (Letzigrund),28-Aug-2009,male,5000m
12:52.3,Sammy Kipketer Cheruiyot,KEN,Oslo,27-Jun-2003,male,5000m
12:52.4,Daniel Komen,KEN,Milano (Arena Civica),7-Sep-1996,male,5000m
12:52.4,Isaac Kiprono Songok,KEN,Roma (Stadio Olimpico),14-Jul-2006,male,5000m
12:52.4,Salah Hissou,MAR,Roma (Stadio Olimpico),5-Jun-1997,male,5000m
12:52.4,Edwin Cheruiyot Soi,KEN,Paris Saint-Denis,8-Jul-2006,male,5000m
12:52.5,Tariku Bekele,ETH,Berlin (Olympiastadion),1-Jun-2008,male,5000m
12:52.5,Salah Hissou,MAR,Milano,9-Jun-1999,male,5000m
12:52.6,Eliud Kipchoge,KEN,Oslo,27-Jun-2003,male,5000m
12:52.7,Haile Gebrselassie,ETH,Zürich,14-Aug-1996,male,5000m
12:52.8,Eliud Kipchoge,KEN,Roma (Stadio Olimpico),8-Jul-2005,male,5000m
12:52.8,Eliud Kipchoge,KEN,Paris Saint-Denis (Stade de France),31-Aug-2003,male,5000m
12:52.8,Gebregziabher Gebremariam,ETH,Roma (Stadio Olimpico),8-Jul-2005,male,5000m
12:52.8,Hicham El Guerrouj,MAR,Paris Saint-Denis (Stade de France),31-Aug-2003,male,5000m
12:53.0,Abraham Chebii,KEN,Oslo,27-Jun-2003,male,5000m
12:53.1,Mohamed Farah,GBR,Monaco (Stade Louis II),22-Jul-2011,male,5000m
12:53.1,Kenenisa Bekele,ETH,Paris Saint-Denis (Stade de France),31-Aug-2003,male,5000m
12:53.2,Haile Gebrselassie,ETH,Berlin (Olympiastadion),1-Sep-1995,male,5000m
12:53.4,Abraham Chebii,KEN,Paris Saint-Denis,4-Jul-2003,male,5000m
12:53.4,Khalid Boulami,MAR,Zürich,13-Aug-1997,male,5000m
12:53.5,Salah Hissou,MAR,Zürich,11-Aug-1999,male,5000m
12:53.5,Mark Kosgei Kiptoo,KEN,Stockholm (Olympiastadion),6-Aug-2010,male,5000m
12:53.6,Dejen Gebremeskel,ETH,Stockholm (Olympiastadion),6-Aug-2010,male,5000m
12:53.6,Imane Merga,ETH,Stockholm (Olympiastadion),6-Aug-2010,male,5000m
12:53.6,Bernard Lagat,USA,Monaco (Stade Louis II),22-Jul-2011,male,5000m
12:53.7,Augustine Kiprono Choge,KEN,Roma (Stadio Olimpico),8-Jul-2005,male,5000m
12:53.7,Philip Mosima,KEN,Roma (Stadio Olimpico),5-Jun-1996,male,5000m
12:53.8,Imane Merga,ETH,Oslo (Bislett),4-Jun-2010,male,5000m
12:53.8,Tariku Bekele,ETH,Roma (Stadio Olimpico),14-Jul-2006,male,5000m
12:53.8,Assefa Mezgebu,ETH,Bruxelles,28-Aug-1998,male,5000m
12:53.9,Haile Gebrselassie,ETH,Oslo,30-Jun-1999,male,5000m
12:54.0,Tariku Bekele,ETH,Oslo (Bislett),4-Jun-2010,male,5000m
12:54.0,Yomif Kejelcha,ETH,Bruxelles (Boudewijnstadion),11-Sep-2015,male,5000m
12:54.1,John Kemboi Kibowen,KEN,Paris Saint-Denis (Stade de France),31-Aug-2003,male,5000m
12:54.1,Sammy Kipketer Cheruiyot,KEN,Roma (Stadio Olimpico),30-Jun-2000,male,5000m
12:54.1,Haile Gebrselassie,ETH,Zürich,12-Aug-1998,male,5000m
12:54.1,Bernard Lagat,USA,Oslo (Bislett),4-Jun-2010,male,5000m
12:54.1,Tariku Bekele,ETH,Paris Saint-Denis (Stade de France),6-Jul-2012,male,5000m
12:54.1,Dejene Berhanu,ETH,Roma (Stadio Olimpico),2-Jul-2004,male,5000m
12:54.2,Isiah Kiplangat Koech,KEN,Monaco (Stade Louis II),22-Jul-2011,male,5000m
12:54.2,Abreham Cherkos,ETH,Roma (Stadio Olimpico),14-Jul-2006,male,5000m
12:54.2,Imane Merga,ETH,Roma (Stadio Olimpico),26-May-2011,male,5000m
12:54.4,Haile Gebrselassie,ETH,Paris Saint-Denis,4-Jul-2003,male,5000m
12:54.4,Eliud Kipchoge,KEN,Stockholm (Olympiastadion),6-Aug-2010,male,5000m
12:54.5,Moses Cheruiyot Mosop,KEN,Paris Saint-Denis,8-Jul-2006,male,5000m
12:54.6,James Kwalia C'Kurui,KEN,Oslo,27-Jun-2003,male,5000m
12:54.6,Isiah Kiplangat Koech,KEN,Roma (Stadio Olimpico),26-May-2011,male,5000m
12:54.6,Haile Gebrselassie,ETH,Nürnberg,13-Jun-1997,male,5000m
12:54.7,Hagos Gebrhiwet,ETH,Bruxelles (Boudewijnstadion),11-Sep-2015,male,5000m
12:54.7,Moses Ndiema Kipsiro,UGA,Berlin (Olympiastadion),1-Jun-2008,male,5000m
12:54.7,Dieter Baumann,GER,Zürich,13-Aug-1997,male,5000m
12:54.7,Paul Tergat,KEN,Zürich,14-Aug-1996,male,5000m
01:40.9,David Lekuta Rudisha,KEN,London (Olympic Stadium),9-Aug-2012,male,800m
01:41.0,David Lekuta Rudisha,KEN,Rieti (Guidobaldi),29-Aug-2010,male,800m
01:41.1,David Lekuta Rudisha,KEN,Berlin (Olympiastadion),22-Aug-2010,male,800m
01:41.1,Wilson Kipketer,DEN,Köln,24-Aug-1997,male,800m
01:41.2,Wilson Kipketer,DEN,Zürich,13-Aug-1997,male,800m
01:41.3,David Lekuta Rudisha,KEN,Rieti (Guidobaldi),10-Sep-2011,male,800m
01:41.5,David Lekuta Rudisha,KEN,Heusden-Zolder,10-Jul-2010,male,800m
01:41.5,David Lekuta Rudisha,KEN,Paris Saint-Denis (Stade de France),6-Jul-2012,male,800m
01:41.7,Sebastian Coe,GBR,Firenze (Stadio Comunale),10-Jun-1981,male,800m
01:41.7,Wilson Kipketer,DEN,Stockholm,7-Jul-1997,male,800m
01:41.7,Nijel Amos,BOT,London (Olympic Stadium),9-Aug-2012,male,800m
01:41.7,David Lekuta Rudisha,KEN,"New York City (Icahn), NY",9-Jun-2012,male,800m
01:41.8,Joaquim Cruz,BRA,Köln,26-Aug-1984,male,800m
01:41.8,Wilson Kipketer,DEN,Rieti,1-Sep-1996,male,800m
01:42.0,David Lekuta Rudisha,KEN,Rieti,6-Sep-2009,male,800m
01:42.0,David Lekuta Rudisha,KEN,Oslo (Bislett),4-Jun-2010,male,800m
01:42.1,David Lekuta Rudisha,KEN,Nairobi (Nyayo Stadium),23-Jun-2012,male,800m
01:42.2,David Lekuta Rudisha,KEN,Rio de Janeiro (Estádio Olímpico),15-Aug-2016,male,800m
01:42.2,Wilson Kipketer,DEN,Tokyo,16-Sep-1996,male,800m
01:42.2,Wilson Kipketer,DEN,Bruxelles,22-Aug-1997,male,800m
01:42.2,Abubaker Kaki,SUD,Oslo (Bislett),4-Jun-2010,male,800m
01:42.3,Wilson Kipketer,DEN,Bruxelles,3-Sep-1999,male,800m
01:42.3,Sammy Koskei,KEN,Köln,26-Aug-1984,male,800m
01:42.3,Wilson Kipketer,DEN,Rieti,8-Sep-2002,male,800m
01:42.3,Sebastian Coe,GBR,Oslo,5-Jul-1979,male,800m
01:42.3,Joaquim Cruz,BRA,Zürich (Letzigrund),22-Aug-1984,male,800m
01:42.3,Wilfred Bungei,KEN,Rieti,8-Sep-2002,male,800m
01:42.4,Mohammed Aman,ETH,Bruxelles (Boudewijnstadion),6-Sep-2013,male,800m
01:42.4,Joaquim Cruz,BRA,Bruxelles,24-Aug-1984,male,800m
01:42.4,Nijel Amos,BOT,Monaco (Stade Louis II),18-Jul-2014,male,800m
01:42.5,Yuriy Borzakovskiy,RUS,Bruxelles,24-Aug-2001,male,800m
01:42.5,Joaquim Cruz,BRA,Koblenz,28-Aug-1985,male,800m
01:42.5,Amel Tuka,BIH,Monaco (Stade Louis II),17-Jul-2015,male,800m
01:42.5,Wilson Kipketer,DEN,Nice,10-Jul-1996,male,800m
01:42.5,Wilfred Bungei,KEN,Bruxelles (Boudewijnstadion),5-Sep-2003,male,800m
01:42.5,Timothy Kitum,KEN,London (Olympic Stadium),9-Aug-2012,male,800m
01:42.5,Pierre-Ambroise Bosse,FRA,Monaco (Stade Louis II),18-Jul-2014,male,800m
01:42.5,Mohammed Aman,ETH,Zürich (Letzigrund),30-Aug-2012,male,800m
01:42.5,Joaquim Cruz,BRA,Köln,25-Aug-1985,male,800m
01:42.5,André Bucher,SUI,Zürich (Letzigrund),17-Aug-2001,male,800m
01:42.6,Wilson Kipketer,DEN,Monaco (Stade Louis II),4-Aug-1999,male,800m
01:42.6,Vebjørn Rodal,NOR,"Atlanta (Olympic Stadium), GA",31-Jul-1996,male,800m
01:42.6,Wilson Kipketer,DEN,Monaco (Stade Louis II),10-Aug-1996,male,800m
01:42.6,Johnny Gray,USA,Koblenz,28-Aug-1985,male,800m
01:42.6,Wilson Kipketer,DEN,Lausanne (Pontaise),2-Jul-1997,male,800m
01:42.6,Taoufik Makhloufi,ALG,Rio de Janeiro (Estádio Olímpico),15-Aug-2016,male,800m
01:42.6,David Lekuta Rudisha,KEN,Monaco (Stade Louis II),22-Jul-2011,male,800m
01:42.6,Wilson Kipketer,DEN,Zürich,14-Aug-1996,male,800m
01:42.6,Patrick Ndururi,KEN,Zürich,13-Aug-1997,male,800m
01:42.7,Johnny Gray,USA,Zürich (Letzigrund),17-Aug-1988,male,800m
01:42.7,Nijel Amos,BOT,Monaco (Stade Louis II),17-Jul-2015,male,800m
01:42.7,Alfred Kirwa Yego,KEN,Rieti,6-Sep-2009,male,800m
01:42.7,Hezekiél Sepeng,RSA,Bruxelles,3-Sep-1999,male,800m
01:42.7,Abubaker Kaki,SUD,Oslo (Bislett),6-Jun-2008,male,800m
01:42.7,Japheth Kimutai,KEN,Bruxelles,3-Sep-1999,male,800m
01:42.7,Wilson Kipketer,DEN,Bruxelles,30-Aug-2002,male,800m
01:42.7,Hezekiél Sepeng,RSA,"Atlanta (Olympic Stadium), GA",31-Jul-1996,male,800m
01:42.8,André Bucher,SUI,Bruxelles,24-Aug-2001,male,800m
01:42.8,Wilson Kipketer,DEN,Oslo,5-Jul-1996,male,800m
01:42.8,Japheth Kimutai,KEN,Stuttgart,19-Jul-1998,male,800m
01:42.8,Wilson Kipketer,DEN,Monaco (Stade Louis II),16-Aug-1997,male,800m
01:42.8,Wilson Kipketer,DEN,Bruxelles,23-Aug-1996,male,800m
01:42.8,Frederick Onyancha,KEN,"Atlanta (Olympic Stadium), GA",31-Jul-1996,male,800m
01:42.8,Wilson Kipketer,DEN,Roma (Stadio Olimpico),7-Jul-1999,male,800m
01:42.8,Yusuf Saad Kamel,BRN,Monaco (Stade Louis II),29-Jul-2008,male,800m
01:42.8,Yuriy Borzakovskiy,RUS,Monaco (Stade Louis II),29-Jul-2008,male,800m
01:42.8,Johnny Gray,USA,"New Orleans, LA",24-Jun-1992,male,800m
01:42.8,Jean-Patrick Nduwimana,BDI,Zürich (Letzigrund),17-Aug-2001,male,800m
01:42.8,David Lekuta Rudisha,KEN,Zürich (Letzigrund),30-Aug-2012,male,800m
01:42.8,Duane Solomon,USA,London (Olympic Stadium),9-Aug-2012,male,800m
01:42.8,Mohammed Aman,ETH,Monaco (Stade Louis II),18-Jul-2014,male,800m
01:42.8,David Lekuta Rudisha,KEN,Nairobi,30-Jul-2010,male,800m
01:42.8,Ferguson Cheruiyot Rotich,KEN,Monaco (Stade Louis II),18-Jul-2014,male,800m
01:42.9,Norberto Téllez,CUB,"Atlanta (Olympic Stadium), GA",31-Jul-1996,male,800m
01:42.9,Mbulaeni Mulaudzi,RSA,Rieti,6-Sep-2009,male,800m
01:42.9,Wilson Kipketer,DEN,Monaco (Stade Louis II),25-Jul-1995,male,800m
01:42.9,Japheth Kimutai,KEN,Zürich,12-Aug-1998,male,800m
01:42.9,Alfred Kipketer,KEN,Paris Saint-Denis (Stade de France),27-Aug-2016,male,800m
01:42.9,Wilson Kipketer,DEN,Zürich,16-Aug-1995,male,800m
01:42.9,Steve Cram,GBR,Zürich (Letzigrund),21-Aug-1985,male,800m
01:42.9,Mbulaeni Mulaudzi,RSA,Bruxelles (Boudewijnstadion),5-Sep-2003,male,800m
01:42.9,Patrick Ndururi,KEN,Roma (Stadio Olimpico),14-Jul-1998,male,800m
01:42.9,André Bucher,SUI,Monaco (Stade Louis II),20-Jul-2001,male,800m
01:42.9,David Lekuta Rudisha,KEN,London (Crystal Palace),5-Aug-2011,male,800m
01:42.9,William Yiampoy,KEN,Rieti,8-Sep-2002,male,800m
01:42.9,André Bucher,SUI,Bruxelles,3-Sep-1999,male,800m
01:42.9,Clayton Murphy,USA,Rio de Janeiro (Estádio Olímpico),15-Aug-2016,male,800m
01:43.0,Nick Symmonds,USA,London (Olympic Stadium),9-Aug-2012,male,800m
01:43.0,Boaz Kiplagat Lalang,KEN,Rieti (Guidobaldi),29-Aug-2010,male,800m
01:43.0,Vebjørn Rodal,NOR,Oslo,5-Jul-1996,male,800m
01:43.0,Wilfred Bungei,KEN,Zürich (Letzigrund),17-Aug-2001,male,800m
01:43.0,Johnny Gray,USA,Koblenz,29-Aug-1984,male,800m
01:43.0,Ayanleh Souleiman,DJI,Monaco (Stade Louis II),17-Jul-2015,male,800m
01:43.0,Peter Elliott,GBR,Sevilla,30-May-1990,male,800m
01:43.0,David Lekuta Rudisha,KEN,Monaco (Stade Louis II),18-Jul-2014,male,800m
01:43.0,Taoufik Makhloufi,ALG,Paris Saint-Denis (Stade de France),27-Aug-2016,male,800m
01:43.0,Japheth Kimutai,KEN,Roma (Stadio Olimpico),7-Jul-1999,male,800m
01:43.0,Joaquim Cruz,BRA,Berlin,23-Aug-1985,male,800m
01:43.0,Wilson Kipketer,DEN,Fukuoka,13-Sep-1997,male,800m
01:43.0,Patrick Konchellah,KEN,Köln,24-Aug-1997,male,800m
69.91,John Godina,USA,"Salinas, CA",19-May-1998,male,discus
69.92,Imrich Bugár,CZE,Brno,22-Aug-1983,male,discus
69.94,Imrich Bugár,CZE,Bruxelles,24-Aug-1984,male,discus
69.95,Gerd Kanter,EST,Helsingborg,30-Jul-2008,male,discus
69.95,Zoltán Kövágó,HUN,Salon-de-Provence,25-May-2006,male,discus
69.95,Virgilijus Alekna,LTU,Zürich (Letzigrund),17-Aug-2001,male,discus
69.96,Art Burns,USA,"Hayward, CA",26-Jun-1982,male,discus
69.96,Frantz Kruger,RSA,Stellenbosch,30-Mar-2001,male,discus
69.97,Frantz Kruger,FIN,Helsingborg,15-Sep-2007,male,discus
69.97,Virgilijus Alekna,LTU,Halle,19-May-2007,male,discus
69.98,John Powell,USA,"Modesto, CA",16-May-1981,male,discus
69.99,Gerd Kanter,EST,Helsingborg,6-Sep-2009,male,discus
70,Róbert Fazekas,HUN,Réthimno,6-Jul-2003,male,discus
70,Juan Martínez,CUB,La Habana,21-May-1983,male,discus
70,Luis Delís,CUB,La Habana,31-Mar-1985,male,discus
70,Mac Wilkins,USA,Nice,16-Aug-1976,male,discus
70.01,Virgilijus Alekna,LTU,Vilnius,18-Apr-2007,male,discus
70.02,Mac Wilkins,USA,Reykjavik,17-Aug-1978,male,discus
70.04,Jay Silvester,USA,Ystad,10-Jun-1971,male,discus
70.06,Romas Ubartas,URS,Smalininkai,8-May-1988,male,discus
70.06,Imrich Bugár,TCH,Zaragoza,22-May-1983,male,discus
70.1,Virgilijus Alekna,LTU,Tallinn,22-Sep-2006,male,discus
70.1,Mac Wilkins,USA,"Los Angeles (Westwood), CA",11-Jun-1976,male,discus
70.1,Gerd Kanter,EST,"Chula Vista, CA",28-Apr-2005,male,discus
70.12,Gerd Kanter,EST,Valga,5-Jun-2007,male,discus
70.16,Gerd Kanter,EST,Helsingborg,11-Aug-2007,male,discus
70.17,Virgilijus Alekna,LTU,Helsinki (Olympic Stadium),7-Aug-2005,male,discus
70.2,Luis Delís,CUB,La Habana,8-Aug-1982,male,discus
70.21,Virgilijus Alekna,LTU,Paris Saint-Denis,23-Jul-2004,male,discus
70.24,Wolfgang Schmidt,GDR,Potsdam,18-Aug-1978,male,discus
70.24,Imrich Bugár,TCH,Nitra,26-Aug-1984,male,discus
70.26,Imrich Bugár,TCH,Cagliari,8-Sep-1984,male,discus
70.28,Virgilijus Alekna,LTU,Klaipéda,23-Jun-2012,male,discus
70.3,Yuriy Dumchev,URS,Bryansk,31-Jul-1988,male,discus
70.31,Robert Harting,GER,Halle,19-May-2012,male,discus
70.32,Gerd Kanter,EST,Helsingborg,6-Sep-2008,male,discus
70.32,Frantz Kruger,RSA,Salon-de-Provence,26-May-2002,male,discus
70.36,Gerd Kanter,EST,Kópavogur,8-Jul-2007,male,discus
70.36,Mac Wilkins,USA,"Modesto, CA",14-May-1983,male,discus
70.38,Jay Silvester,USA,"Lancaster, CA",16-May-1971,male,discus
70.38,Gerd Kanter,EST,"Chula Vista, CA",2-May-2008,male,discus
70.39,Virgilijus Alekna,LTU,Tartu,11-Jun-2000,male,discus
70.43,Virgilijus Alekna,LTU,Athína (Olympic Stadium),2-Jul-2007,male,discus
70.44,Mac Wilkins,USA,"San José, CA",9-Jun-1984,male,discus
70.46,Jürgen Schult,GDR,Berlin,13-Sep-1988,male,discus
70.48,Mac Wilkins,USA,"Eugene, OR",31-May-1978,male,discus
70.48,Rickard Bruch,SWE,Malmö,12-Sep-1984,male,discus
70.48,Mac Wilkins,USA,"San José, CA",29-Apr-1978,male,discus
70.51,Virgilijus Alekna,LTU,Oslo,15-Jun-2007,male,discus
70.53,Virgilijus Alekna,LTU,Lausanne (Pontaise),5-Jul-2005,male,discus
70.54,Dmitriy Shevchenko,RUS,Krasnodar,7-May-2002,male,discus
70.58,Luis Delís,CUB,"Salinas, CA",19-May-1982,male,discus
70.58,Virgilijus Alekna,LTU,Réthimno,10-Jul-2005,male,discus
70.6,Lars Riedel,GER,Berlin,30-Aug-1996,male,discus
70.61,Virgilijus Alekna,LTU,Tallinn,16-Sep-2005,male,discus
70.66,Robert Harting,GER,Turnov,22-May-2012,male,discus
70.66,Mac Wilkins,USA,"Walnut, CA",16-Jun-1979,male,discus
70.67,Virgilijus Alekna,LTU,Madrid,16-Jul-2005,male,discus
70.72,Imrich Bugár,TCH,Schwechat,18-Jun-1983,male,discus
70.78,Róbert Fazekas,HUN,Budapest,10-May-2003,male,discus
70.82,Aleksander Tammert,EST,"Denton, TX",15-Apr-2006,male,discus
70.82,Ben Plucknett,USA,"Salinas, CA",1-Jun-1983,male,discus
70.83,Róbert Fazekas,HUN,Réthimno,23-Jun-2004,male,discus
70.84,Gerd Kanter,EST,"Chula Vista, CA",28-Apr-2009,male,discus
70.86,Virgilijus Alekna,LTU,Réthimno,14-Jul-2008,male,discus
70.86,Mac Wilkins,USA,"San José, CA",1-May-1976,male,discus
70.92,Wolfgang Schmidt,GDR,Norden,9-Sep-1989,male,discus
70.92,Gerd Kanter,EST,Kaunas,25-Jul-2007,male,discus
70.93,Gerd Kanter,EST,Helsingborg,28-Jun-2007,male,discus
70.97,Virgilijus Alekna,LTU,Réthimno,23-Jun-2004,male,discus
70.98,Art Burns,USA,"Eugene, OR",21-Jul-1984,male,discus
70.98,Mac Wilkins,USA,Helsinki,9-Jul-1980,male,discus
70.99,Virgilijus Alekna,LTU,Stellenbosch,30-Mar-2001,male,discus
71,Rickard Bruch,SWE,Malmö,14-Oct-1984,male,discus
71.06,Luis Delís,CUB,La Habana,21-May-1983,male,discus
71.06,Lars Riedel,GER,Zürich,14-Aug-1996,male,discus
71.08,Virgilijus Alekna,LTU,Réthimno,21-Jul-2006,male,discus
71.12,Virgilijus Alekna,LTU,Zürich,11-Aug-2000,male,discus
71.14,Ben Plucknett,USA,"Berkeley, CA",12-Jun-1983,male,discus
71.14,Anthony Washington,USA,"Salinas, CA",22-May-1996,male,discus
71.16,Wolfgang Schmidt,GDR,Berlin,9-Aug-1978,male,discus
71.18,Art Burns,USA,"San José, CA",19-Jul-1983,male,discus
71.25,Virgilijus Alekna,LTU,Turnov,20-May-2008,male,discus
71.25,Róbert Fazekas,HUN,Madrid (CM),21-Sep-2002,male,discus
71.26,Rickard Bruch,SWE,Malmö,15-Nov-1984,male,discus
71.26,John Powell,USA,"San José, CA",9-Jun-1984,male,discus
71.26,Imrich Bugár,TCH,"San José, CA",25-May-1985,male,discus
71.32,Ben Plucknett,USA,"Eugene, OR",4-Jun-1983,male,discus
71.45,Gerd Kanter,EST,"Chula Vista, CA",29-Apr-2010,male,discus
71.5,Lars Riedel,GER,Wiesbaden,3-May-1997,male,discus
71.56,Virgilijus Alekna,LTU,Kaunas,25-Jul-2007,male,discus
71.64,Gerd Kanter,EST,Kohila,25-Jun-2009,male,discus
71.7,Róbert Fazekas,HUN,Szombathely,14-Jul-2002,male,discus
71.84,Piotr Malachowski,POL,Hengelo (Blankers-Koen Stadion),8-Jun-2013,male,discus
71.86,Yuriy Dumchev,URS,Moskva,29-May-1983,male,discus
71.88,Gerd Kanter,EST,"Salinas, CA",8-May-2008,male,discus
72.02,Gerd Kanter,EST,"Salinas, CA",3-May-2007,male,discus
73.38,Gerd Kanter,EST,Helsingborg,4-Sep-2006,male,discus
73.88,Virgilijus Alekna,LTU,Kaunas,3-Aug-2000,male,discus
74.08,Jürgen Schult,GDR,Neubrandenburg (Jahn Sportpark),6-Jun-1986,male,discus
82.92,Koji Murofushi,JPN,Edmonton (Commonwealth Stadium),5-Aug-2001,male,hammer
82.92,Igor Nikulin,RUS,Leningrad,3-Jun-1983,male,hammer
82.94,Vadim Devyatovskiy,BLR,Minsk,28-Jul-2007,male,hammer
82.94,Koji Murofushi,JPN,Brisbane,7-Sep-2001,male,hammer
82.95,Vadim Devyatovskiy,BLR,Minsk,22-Jul-2006,male,hammer
82.95,Koji Murofushi,JPN,Osaka,10-May-2003,male,hammer
82.96,Igor Astapkovich,URS,Novopolotsk,26-Sep-1987,male,hammer
82.97,Adrián Annus,HUN,Szombathely,14-Jul-2002,male,hammer
83,Balázs Kiss,HUN,Saint-Denis,4-Jun-1998,male,hammer
83,Igor Astapkovich,BLR,Sevilla,5-Jun-1994,male,hammer
83.02,Yuriy Sedykh,URS,Adler,24-May-1986,male,hammer
83.04,Heinz Weis,GER,Frankfurt,29-Jun-1997,male,hammer
83.05,Ivan Tsikhan,BLR,Paris Saint-Denis (Stade de France),25-Aug-2003,male,hammer
83.06,Sergey Litvinov,URS,Roma (Stadio Olimpico),1-Sep-1987,male,hammer
83.1,Sergey Litvinov,URS,Haniá,22-May-1983,male,hammer
83.1,Andrey Abduvaliyev,UZB,Tashkent,7-Sep-1995,male,hammer
83.12,Pawel Fajdek,POL,Székesfehérvár (Sóstói Stadion),7-Jul-2015,male,hammer
83.12,Yuriy Sedykh,URS,Leningrad,12-Jun-1988,male,hammer
83.14,Igor Astapkovich,BLR,Moskva,23-Jun-1992,male,hammer
83.14,Igor Astapkovich,BLR,Roma (Stadio Olimpico),8-Jun-1994,male,hammer
83.15,Koji Murofushi,JPN,Yokohama,23-Sep-2004,male,hammer
83.16,Andrey Abduvaliyev,TJK,Moskva,10-Jun-1990,male,hammer
83.18,Sergey Litvinov,RUS,Rostov,8-May-1988,male,hammer
83.18,Jüri Tamm,URS,Vladivostok,14-Sep-1988,male,hammer
83.24,Andrey Abduvaliyev,TJK,Zürich,17-Aug-1994,male,hammer
83.29,Koji Murofushi,JPN,Yokohama,8-Jun-2003,male,hammer
83.3,Olli-Pekka Karjalainen,FIN,Lahti,14-Jul-2004,male,hammer
83.32,Jüri Tamm,URS,Budapest,20-Aug-1984,male,hammer
83.33,Koji Murofushi,JPN,Doha,15-May-2002,male,hammer
