,EnteroCount,FourDayRainTotal
540,31.0,0.2
541,132.0,0.3
542,22.0,0.1
543,10.0,0.0
544,34.0,0.0
545,39.0,0.0
546,33.0,1.2
547,15.0,1.0
548,5.0,0.0
549,5.0,0.3
550,11.0,0.2
551,16.0,0.7
552,15.0,0.1
553,816.0,1.5
554,10.0,0.0
555,6.0,0.0
556,3.0,0.3
557,19.0,2.3
558,147.0,1.6
559,192.0,1.3
560,31.0,0.0
561,435.0,0.6
562,8.0,0.2
563,2.0,0.7
564,6.0,0.2
565,2.0,0.0
566,10.0,0.2
567,16.0,0.0
568,488.0,2.8
569,,1.9
570,29.0,1.2
571,3.0,0.5
572,4.0,0.3
573,4.0,0.4
574,23.0,1.5
575,6.0,0.1
576,9.0,1.0
577,1.0,0.2
578,3.0,0.0
579,261.0,0.2
580,22.0,0.2
581,197.0,1.5
582,1.0,0.4
583,10.0,0.3
584,4.0,0.5
585,6.0,0.5
586,387.0,1.2
587,1986.0,1.9
588,,2.8
589,14.0,0.0
590,12.0,0.0
591,4.0,0.0
592,12.0,1.0
593,4.0,0.7
594,51.0,0.2
595,,0.6
596,21.0,0.0
597,1986.0,1.3
598,816.0,1.6
599,15.0,2.3
600,16.0,0.3
601,12.0,0.0
602,21.0,0.1
603,93.0,1.6
604,2.0,0.1
605,8.0,0.7
606,3.0,0.1
607,3.0,0.3
608,2.0,0.3
609,17.0,0.0
610,9.0,0.0
611,5.0,0.1
612,11.0,1.0
613,14.0,0.9
614,10.0,1.2
615,8.0,0.0
616,36.0,0.0
617,22.0,0.0
618,13.0,0.0
619,3.0,0.2
620,15.0,0.2
621,,0.2
622,12.0,0.0
623,10.0,0.0
624,26.0,0.0
625,13.0,0.0
626,32.0,1.2
627,4.0,1.0
628,4.0,0.0
629,5.0,0.3
630,6.0,0.2
631,1.0,0.2
632,11.0,0.1
633,1414.0,1.3
634,16.0,0.4
635,1.0,0.0
636,4.0,0.3
637,2.0,2.3
638,411.0,1.6
639,31.0,1.3
640,11.0,0.0
641,16.0,0.2
642,2.0,0.7
643,17.0,0.0
644,9.0,0.0
645,12.0,0.0
646,23.0,2.8
647,,1.9
648,12.0,0.8
649,3.0,0.5
650,26.0,0.5
651,2.0,0.3
652,4.0,0.4
653,17.0,1.5
654,9.0,0.1
655,3.0,0.7
656,7.0,0.2
657,35.0,0.4
658,21.0,0.0
659,27.0,0.0
660,13.0,0.0
661,24.0,1.2
662,30.0,1.0
663,9.0,0.0
664,37.0,0.3
665,15.0,0.2
666,3.0,0.7
667,11.0,0.1
668,613.0,1.3
669,19.0,0.0
670,1.0,0.0
671,7.0,0.3
672,17.0,2.3
673,249.0,1.6
674,41.0,1.3
675,32.0,0.0
676,46.0,0.2
677,5.0,0.7
678,10.0,0.2
679,21.0,0.0
680,6.0,0.0
681,2.0,0.2
682,517.0,2.8
